"N_AC","meanX_AC","Method","Bias","Bias.MCSE","LCI","LCI.MCSE","UCI","UCI.MCSE","Cov","Cov.MCSE","ESE","ESE.MCSE","MSE","MSE.MCSE","number.NAs"
140,0.5,"MAIC",-0.00591758271625129,0.00730002910507618,-0.991001350110355,0.00746368063274727,0.979166184677852,0.00730854802664092,0.935,0.00348640215695206,0.516190008305853,0.00516241635050825,0.266433852035066,0.00538125802170918,0
140,0.5,"2SMAIC",-0.0014605116662913,0.00545376903354602,-0.774181538480065,0.00556976857428968,0.771260515147483,0.00564372495933956,0.9548,0.00293792307591605,0.385639706664559,0.00385678276420785,0.148690372853983,0.0030929114749238,0
140,0.5,"T-MAIC",-0.0310704191504743,0.00691766578676598,-0.978149218205398,0.00702967437391586,0.916008379904449,0.00689547400782108,0.9434,0.00326791799162708,0.48915283878044,0.00489201761402834,0.240188016533212,0.00487845361372693,0
140,0.5,"T-2SMAIC",-0.0349391211897234,0.00524359532808105,-0.77612492742274,0.00537731860480632,0.706246685043293,0.0052188967302138,0.9536,0.00297479545515318,0.370778181428421,0.00370815264809164,0.138669706720913,0.00284637838032847,0
200,0.5,"MAIC",0.00271466984825822,0.00640103600713272,-0.873066205545246,0.0064897748796399,0.878495545241763,0.00640892894293757,0.9492,0.00310545842026584,0.452621596726281,0.00452666865676409,0.204832705993468,0.00399916039383762,0
200,0.5,"2SMAIC",-0.000779515746629152,0.00503962372215643,-0.698000649448509,0.00509185778621697,0.696441617955251,0.00512642443185951,0.9526,0.00300510365877785,0.35635521085654,0.00356390851723845,0.126964246142147,0.0025569696035695,0
200,0.5,"T-MAIC",-0.022826702389713,0.00608812200664266,-0.865478838693863,0.00614251581209823,0.819825433914437,0.00608480704589214,0.9508,0.00305873699425106,0.430495235558808,0.00430538291540869,0.185810140951254,0.00364142565288302,0
200,0.5,"T-2SMAIC",-0.0303398604551916,0.00483942252702851,-0.710494244469496,0.00490714095304574,0.649814523559113,0.00483219326339523,0.9526,0.00300510365877785,0.342198848588879,0.00342233073607577,0.1179971390976,0.00234832561010757,0
140,0.4,"MAIC",-0.00154445414464595,0.00849202956697887,-1.14705029457577,0.00904690414114634,1.14396138628648,0.00859025070050158,0.9324,0.0035504996831432,0.600477169284742,0.0060053722601033,0.360503101604656,0.00711511321646726,0
140,0.4,"2SMAIC",0.00147999270344993,0.00726899448624709,-1.01439492556605,0.00770639902565524,1.01735491097295,0.00777757286061076,0.9462,0.00319078548323136,0.513995529363294,0.00514046936627449,0.264140756303014,0.00533753559437177,0
140,0.4,"T-MAIC",-0.0695348702591893,0.00719522150909205,-1.08426384601593,0.00744675038741158,0.94519410549755,0.00713045743948536,0.9522,0.00301712313305241,0.508778992121829,0.00508829877653998,0.263639389793901,0.00532836057632109,0
140,0.4,"T-2SMAIC",-0.0763721493083858,0.00615431065080642,-0.966436809805482,0.00639539461827232,0.813692511188711,0.00611009202771868,0.9508,0.00305873699425106,0.435175479471382,0.00435219003548049,0.195172527583543,0.00397568995228754,0
200,0.4,"MAIC",-0.0140677890323948,0.00748948438802226,-1.03114946965386,0.0078284788373364,1.00301389158907,0.00757481059275124,0.9382,0.00340531232047811,0.529586519836132,0.00529639486433238,0.280603692304008,0.00541725587021635,0
200,0.4,"2SMAIC",-0.00841064370930733,0.00647075672308909,-0.910347223584152,0.00674362919168906,0.893525936165537,0.00679310262366598,0.9442,0.00324611644892786,0.457551595830474,0.00457597357854475,0.209382331082048,0.00412437001931804,0
200,0.4,"T-MAIC",-0.0825850186598345,0.00633177940424761,-0.977087697685181,0.00644937398896134,0.811917660365512,0.00631389262345937,0.9482,0.0031342227106573,0.44772441537208,0.00447769194530603,0.207237345996892,0.00412540096520359,0
200,0.4,"T-2SMAIC",-0.0854780516040126,0.00550808177266453,-0.880391396312692,0.00563235091120258,0.709435293104666,0.00548987955401251,0.9512,0.00304691844328003,0.389480197278111,0.00389519151141016,0.158970982413,0.00311734120469116,0
140,0.3,"MAIC",-0.0405667053851916,0.0108422612068937,-1.4117054417814,0.0119042856552242,1.33057203101101,0.0112729019022237,0.899579915983197,0.00425097545359106,0.76658697208111,0.00766740335486082,0.589183688722215,0.0115218634902491,1
140,0.3,"2SMAIC",-0.0313384836030327,0.00994472630918876,-1.33944767182926,0.0109074331632381,1.27677070462319,0.0108302099505137,0.9168,0.00390583563402251,0.703198341027164,0.00703268671411,0.495371109796528,0.0100151345403227,0
140,0.3,"T-MAIC",-0.157192632314246,0.00796889790532064,-1.26340994806971,0.00831670588855242,0.949024683441222,0.00795588691250991,0.9392,0.00337944847571316,0.56348617474355,0.00563542531814726,0.342162689447174,0.0068708777451797,0
140,0.3,"T-2SMAIC",-0.160118292062793,0.00733979533616718,-1.19895213694257,0.00765729940042127,0.878715552816989,0.00735862666888297,0.9394,0.00337424480439698,0.519001905472521,0.00519053813449395,0.294946972741636,0.00590724580568497,0
200,0.3,"MAIC",-0.0100007719595107,0.00957878764707761,-1.23722455742908,0.0103443352960186,1.21722301351006,0.00996734842826272,0.911,0.00402688465193628,0.677322570079451,0.00677390312497991,0.458774126206031,0.0089886613893621,0
200,0.3,"2SMAIC",-0.0066493965351601,0.00887108155004789,-1.17582042044057,0.00949317753251311,1.16252162737025,0.00967913028536484,0.9262,0.00369739259478893,0.627280192049773,0.0062734292947975,0.393445957724415,0.0077784303706042,0
200,0.3,"T-MAIC",-0.149111808791509,0.00693597057133434,-1.11153957139101,0.00712554699538808,0.813315953807994,0.0069209751365909,0.9388,0.00338982477423244,0.490447182510084,0.0049049623458627,0.262724662665389,0.0053855464070038,0
200,0.3,"T-2SMAIC",-0.153485243341365,0.00647325662836648,-1.06403793964453,0.00663547939012015,0.757067452961803,0.0064786241330491,0.9366,0.00344617004803884,0.45772836582787,0.00457774145531523,0.233031073755634,0.00476103467398012,0
